Country,Year,Female Enrollment (%),Female Graduation Rate (%),STEM Fields,Gender Gap Index,gdp_per_capita_usd,_merge
Australia,2000,55.0,43.1,Mathematics,0.98,21908.9968019784,both
Germany,2018,56.6,25.0,Engineering,0.59,48916.1686612154,both
Canada,2010,43.3,29.0,Computer Science,0.96,47560.6666009406,both
Australia,2000,68.2,62.5,Biology,0.99,21908.9968019784,both
Canada,2002,48.4,18.2,Engineering,0.59,24256.0192337185,both
Australia,2014,59.2,49.1,Biology,0.98,62817.2061751737,both
Canada,2010,69.4,28.2,Mathematics,0.89,47560.6666009406,both
India,2003,49.6,22.0,Computer Science,0.51,544.143133545002,both
China,2014,20.4,27.9,Engineering,0.85,7781.06597484974,both
Canada,2012,23.6,38.7,Engineering,0.62,52670.3447335415,both
India,2005,25.9,21.2,Mathematics,0.91,710.488080408949,both
India,2003,36.8,42.9,Computer Science,0.52,544.143133545002,both
China,2016,37.4,27.5,Mathematics,0.66,8254.86859320357,both
Canada,2007,46.1,40.2,Computer Science,0.76,44660.0838892281,both
China,2007,22.8,58.3,Engineering,0.95,2734.72709877693,both
Canada,2020,57.0,45.5,Computer Science,0.63,43537.839298904,both
USA,2009,27.5,19.8,Biology,0.67,,left_only
USA,2017,58.9,51.1,Mathematics,0.93,,left_only
China,2000,59.9,45.6,Mathematics,0.85,969.199513696287,both
Australia,2001,40.0,11.6,Engineering,0.94,19733.6510102645,both
India,2016,24.9,47.2,Biology,0.6,1707.50892912243,both
Canada,2008,34.6,41.1,Computer Science,0.84,46710.2526864484,both
Germany,2009,27.7,12.0,Mathematics,0.68,42471.8868625226,both
Canada,2001,60.7,37.7,Engineering,0.69,23822.096210932,both
Canada,2005,44.5,56.9,Engineering,0.94,36383.6600068095,both
Germany,2011,54.2,26.7,Mathematics,0.99,47630.9761883572,both
Australia,2015,51.5,16.4,Engineering,0.68,56970.3613028094,both
USA,2010,68.2,22.3,Engineering,0.59,,left_only
USA,2017,29.7,11.4,Engineering,0.91,,left_only
Germany,2014,56.5,11.5,Biology,0.92,48959.5991203133,both
Canada,2016,24.5,63.5,Mathematics,0.67,42314.0615817218,both
Australia,2007,61.6,54.1,Mathematics,0.85,41128.2476618402,both
USA,2013,68.4,32.8,Mathematics,0.75,,left_only
Australia,2012,56.8,42.6,Biology,0.52,68301.4402512587,both
China,2000,48.1,57.3,Computer Science,0.79,969.199513696287,both
India,2000,27.7,34.5,Biology,0.52,442.750218937263,both
India,2002,21.2,50.2,Biology,0.63,469.149928973927,both
India,2004,22.1,48.7,Mathematics,0.73,624.258826510066,both
USA,2002,57.2,13.8,Biology,0.78,,left_only
USA,2022,22.1,61.1,Engineering,0.62,,left_only
Germany,2021,39.8,29.5,Mathematics,0.69,52349.2459994422,both
China,2007,40.6,46.1,Engineering,0.58,2734.72709877693,both
Canada,2015,57.7,44.7,Computer Science,0.86,43594.1941045394,both
Australia,2017,47.4,12.3,Mathematics,0.5,54117.547718609,both
Canada,2009,45.5,32.5,Mathematics,0.66,40874.8831932903,both
USA,2004,47.5,64.1,Computer Science,0.73,,left_only
Germany,2000,46.0,19.4,Biology,0.8,23925.8559901991,both
China,2001,37.6,29.3,Computer Science,0.55,1065.40597574519,both
China,2005,53.1,30.8,Computer Science,0.81,1777.64496828464,both
Australia,2016,50.3,25.9,Biology,0.67,50084.4440606385,both
Canada,2018,53.2,48.1,Computer Science,0.64,46539.1761570405,both
China,2018,50.0,19.7,Mathematics,0.75,10085.6638148819,both
Canada,2022,53.7,13.1,Biology,0.79,56256.8007264015,both
USA,2003,64.1,34.0,Biology,0.61,,left_only
Germany,2008,23.8,12.8,Mathematics,0.88,46379.1647953479,both
India,2014,36.3,22.4,Computer Science,0.85,1553.88396075118,both
Germany,2001,26.6,14.1,Engineering,0.93,23878.3641471651,both
USA,2011,46.0,49.5,Mathematics,0.99,,left_only
Canada,2001,34.4,11.4,Engineering,0.66,23822.096210932,both
Germany,2000,58.9,49.7,Mathematics,0.81,23925.8559901991,both
Germany,2016,32.2,37.2,Mathematics,0.94,42948.9381932694,both
Canada,2009,23.7,41.5,Computer Science,0.86,40874.8831932903,both
USA,2020,67.2,31.1,Computer Science,0.84,,left_only
Canada,2008,35.1,56.5,Computer Science,0.78,46710.2526864484,both
Canada,2018,62.4,26.4,Biology,0.83,46539.1761570405,both
Australia,2005,60.7,45.8,Mathematics,0.6,34535.20727091,both
Australia,2010,25.5,39.3,Engineering,0.67,52313.8939041213,both
Canada,2003,27.8,27.0,Mathematics,0.7,28301.8645937428,both
Germany,2007,57.1,20.5,Engineering,0.59,42350.9217211489,both
India,2018,21.0,62.3,Biology,0.89,1966.25455171679,both
India,2010,46.1,12.8,Engineering,0.56,1347.51939071367,both
China,2015,54.4,22.2,Engineering,0.79,8175.33285077393,both
Germany,2020,43.2,11.5,Biology,0.81,47394.8734504469,both
India,2005,61.6,12.1,Computer Science,0.9,710.488080408949,both
India,2007,57.9,48.8,Engineering,0.59,1021.88707706826,both
India,2018,65.1,19.5,Computer Science,0.92,1966.25455171679,both
Australia,2019,55.4,61.9,Engineering,0.87,55194.7585097428,both
India,2019,43.5,57.3,Mathematics,0.73,2041.42863698585,both
Germany,2014,25.3,29.6,Biology,0.5,48959.5991203133,both
China,2004,32.7,32.2,Engineering,0.83,1530.92726215723,both
Canada,2006,27.7,59.0,Engineering,0.78,40504.0370977806,both
USA,2004,60.3,38.7,Mathematics,0.59,,left_only
China,2003,53.3,39.1,Engineering,0.56,1306.97245408557,both
USA,2013,40.5,48.6,Biology,0.62,,left_only
USA,2002,20.6,10.1,Mathematics,0.64,,left_only
USA,2021,32.4,59.2,Engineering,0.6,,left_only
Canada,2022,60.7,51.0,Mathematics,0.75,56256.8007264015,both
USA,2006,54.6,19.8,Mathematics,0.73,,left_only
Australia,2001,29.9,42.8,Mathematics,0.65,19733.6510102645,both
Canada,2016,26.1,28.7,Computer Science,0.77,42314.0615817218,both
Germany,2002,51.8,44.8,Biology,0.96,25486.5942008748,both
India,2020,33.0,25.5,Engineering,0.72,1907.04251637669,both
Germany,2009,68.6,19.1,Biology,0.56,42471.8868625226,both
India,2013,42.4,51.7,Engineering,0.89,1432.84397512195,both
Germany,2023,34.8,21.3,Computer Science,0.8,54776.7668235491,both
India,2017,58.1,37.7,Biology,0.56,1950.10468280866,both
China,2012,49.8,18.1,Biology,0.94,6405.0574241349,both
Australia,2020,44.8,40.8,Computer Science,0.5,51983.4523666382,both
China,2007,33.7,42.5,Biology,0.54,2734.72709877693,both
India,2002,35.6,24.0,Engineering,0.76,469.149928973927,both
Australia,2009,35.8,11.7,Biology,0.92,42954.8494884573,both
USA,2023,46.3,43.4,Mathematics,0.58,,left_only
Australia,2006,69.5,20.4,Mathematics,0.5,36658.8243476122,both
Australia,2022,36.0,12.0,Mathematics,0.82,65169.5191118657,both
India,2023,20.4,28.0,Computer Science,0.75,2530.12031278204,both
India,2023,21.4,39.7,Biology,1.0,2530.12031278204,both
China,2006,40.6,32.1,Biology,0.61,2129.25696999613,both
USA,2022,41.2,26.5,Biology,0.89,,left_only
USA,2022,30.9,11.4,Engineering,0.87,,left_only
USA,2006,36.6,45.7,Computer Science,0.52,,left_only
USA,2000,50.5,27.0,Computer Science,0.55,,left_only
India,2015,40.5,56.7,Biology,0.88,1583.99815907985,both
Canada,2014,54.5,30.7,Biology,0.63,50960.8431174661,both
Germany,2003,43.4,64.7,Biology,0.78,30711.1022511331,both
Australia,2004,31.0,24.6,Biology,0.89,30886.0500949401,both
Canada,2012,46.0,11.1,Engineering,0.62,52670.3447335415,both
Canada,2003,35.1,56.6,Biology,0.74,28301.8645937428,both
Canada,2021,60.8,28.1,Engineering,0.59,52886.6616372703,both
China,2020,22.4,59.6,Biology,0.58,10627.4637989619,both
China,2005,62.6,46.3,Engineering,0.6,1777.64496828464,both
USA,2001,54.2,30.2,Mathematics,0.71,,left_only
India,2022,41.5,61.9,Computer Science,0.53,2347.44829434623,both
Germany,2019,68.4,42.3,Engineering,0.68,47656.199739747,both
Germany,2006,42.7,13.6,Mathematics,0.85,36980.3349948954,both
Canada,2015,30.1,59.6,Mathematics,0.77,43594.1941045394,both
China,2006,47.4,52.2,Engineering,0.62,2129.25696999613,both
Australia,2019,52.2,57.8,Engineering,0.79,55194.7585097428,both
Germany,2020,39.2,28.3,Engineering,0.95,47394.8734504469,both
Australia,2001,51.1,50.7,Computer Science,0.63,19733.6510102645,both
China,2002,21.8,10.8,Engineering,0.51,1163.55957673426,both
Australia,2002,42.4,29.4,Mathematics,0.92,20335.0960191023,both
China,2017,45.5,55.2,Mathematics,0.71,8979.67652709856,both
Australia,2022,46.7,35.9,Computer Science,0.85,65169.5191118657,both
Germany,2009,65.7,10.6,Biology,0.66,42471.8868625226,both
Germany,2014,54.5,25.9,Biology,0.69,48959.5991203133,both
Australia,2010,25.0,47.2,Mathematics,1.0,52313.8939041213,both
Canada,2006,36.7,25.9,Engineering,0.67,40504.0370977806,both
Australia,2018,66.8,37.5,Mathematics,0.77,57410.1737346009,both
Australia,2000,25.3,41.7,Computer Science,0.97,21908.9968019784,both
USA,2006,20.7,22.4,Engineering,0.52,,left_only
Canada,2009,33.4,24.1,Biology,1.0,40874.8831932903,both
India,2005,65.7,22.2,Engineering,0.64,710.488080408949,both
Canada,2012,48.8,24.7,Mathematics,0.57,52670.3447335415,both
Australia,2011,51.2,48.4,Mathematics,0.92,62799.3895017032,both
Germany,2010,22.2,29.1,Mathematics,0.85,42396.9665976293,both
China,2023,68.5,28.1,Mathematics,0.93,12951.1782397043,both
Canada,2009,32.8,21.1,Biology,0.65,40874.8831932903,both
Germany,2007,31.6,39.8,Computer Science,0.65,42350.9217211489,both
Canada,2023,68.6,64.6,Biology,0.61,54220.3285039875,both
USA,2003,62.0,62.4,Biology,0.75,,left_only
India,2005,37.0,64.6,Computer Science,0.64,710.488080408949,both
India,2022,23.8,46.0,Computer Science,0.78,2347.44829434623,both
India,2003,42.6,21.2,Engineering,0.83,544.143133545002,both
China,2006,42.3,41.0,Biology,0.55,2129.25696999613,both
Canada,2021,37.2,52.3,Computer Science,0.73,52886.6616372703,both
USA,2008,49.2,47.2,Computer Science,0.58,,left_only
USA,2022,20.8,13.2,Biology,0.87,,left_only
USA,2012,62.2,27.4,Computer Science,0.7,,left_only
China,2008,34.2,20.6,Engineering,0.59,3523.44302065213,both
Germany,2020,23.5,23.3,Mathematics,0.71,47394.8734504469,both
Germany,2008,25.9,43.0,Engineering,0.89,46379.1647953479,both
China,2012,29.7,21.5,Mathematics,0.84,6405.0574241349,both
Canada,2019,30.4,54.2,Computer Science,0.99,46352.8693445211,both
Germany,2007,37.7,21.9,Mathematics,0.7,42350.9217211489,both
India,2001,20.4,18.2,Engineering,0.58,450.357900514128,both
India,2002,67.2,34.7,Biology,0.69,469.149928973927,both
India,2000,52.8,49.4,Mathematics,0.98,442.750218937263,both
Canada,2016,30.4,61.3,Engineering,0.73,42314.0615817218,both
China,2011,21.2,54.6,Biology,0.77,5703.76027973346,both
China,2005,51.4,11.7,Mathematics,0.72,1777.64496828464,both
China,2007,30.5,63.2,Engineering,0.55,2734.72709877693,both
Germany,2014,53.6,17.1,Computer Science,0.66,48959.5991203133,both
China,2014,20.8,28.5,Mathematics,0.92,7781.06597484974,both
China,2017,55.5,49.7,Biology,0.85,8979.67652709856,both
Australia,2019,21.9,54.5,Mathematics,0.96,55194.7585097428,both
India,2002,33.5,17.6,Mathematics,0.95,469.149928973927,both
Australia,2022,33.8,59.3,Engineering,0.85,65169.5191118657,both
Australia,2012,41.9,34.1,Biology,0.85,68301.4402512587,both
China,2001,58.6,37.5,Mathematics,0.66,1065.40597574519,both
Canada,2008,47.9,43.6,Computer Science,0.89,46710.2526864484,both
Australia,2007,52.0,33.1,Computer Science,0.6,41128.2476618402,both
India,2019,63.2,58.0,Biology,0.81,2041.42863698585,both
China,2003,34.7,16.6,Mathematics,0.76,1306.97245408557,both
Australia,2017,29.2,54.2,Computer Science,0.93,54117.547718609,both
USA,2015,29.6,19.5,Biology,0.73,,left_only
Australia,2003,24.2,54.0,Computer Science,0.76,23757.5898471684,both
Germany,2016,40.0,51.6,Computer Science,0.85,42948.9381932694,both
USA,2012,63.5,43.3,Computer Science,0.7,,left_only
China,2004,50.5,24.5,Mathematics,0.92,1530.92726215723,both
USA,2019,58.3,61.6,Engineering,0.85,,left_only
Australia,2011,57.2,16.1,Computer Science,0.87,62799.3895017032,both
Germany,2004,56.9,32.9,Biology,0.61,34566.7359143735,both
China,2009,52.3,51.6,Engineering,0.59,3898.24459158811,both
China,2018,21.7,13.2,Biology,0.88,10085.6638148819,both
China,2021,30.8,33.6,Biology,0.71,12887.4357242941,both
Canada,2002,57.3,32.8,Mathematics,0.54,24256.0192337185,both
India,2009,48.0,32.8,Computer Science,0.56,1094.94974598436,both
USA,2002,25.4,24.3,Mathematics,0.86,,left_only
India,2008,30.5,28.5,Biology,0.91,992.519584923828,both
Canada,2008,29.7,55.3,Mathematics,0.91,46710.2526864484,both
Canada,2012,44.0,23.8,Mathematics,0.77,52670.3447335415,both
China,2022,68.5,37.9,Biology,0.52,12970.6056414327,both
Australia,2010,60.8,11.4,Engineering,0.87,52313.8939041213,both
Canada,2005,38.1,21.3,Mathematics,0.83,36383.6600068095,both
India,2000,61.6,51.2,Engineering,0.91,442.750218937263,both
USA,2005,31.4,41.3,Mathematics,0.95,,left_only
Canada,2002,58.2,28.9,Engineering,0.62,24256.0192337185,both
China,2013,52.0,55.9,Computer Science,0.96,7147.03518622344,both
China,2023,43.1,26.0,Mathematics,0.75,12951.1782397043,both
China,2006,51.4,36.7,Biology,0.62,2129.25696999613,both
Germany,2005,31.1,10.6,Mathematics,0.76,35084.4363546269,both
Australia,2005,35.0,46.2,Biology,0.71,34535.20727091,both
Canada,2003,44.9,59.1,Biology,0.93,28301.8645937428,both
Canada,2012,22.0,41.5,Engineering,0.56,52670.3447335415,both
India,2010,21.5,19.2,Computer Science,0.55,1347.51939071367,both
Canada,2018,64.9,53.6,Mathematics,0.77,46539.1761570405,both
Australia,2016,36.2,13.4,Engineering,0.77,50084.4440606385,both
USA,2016,58.9,16.8,Biology,0.8,,left_only
USA,2002,53.2,26.4,Computer Science,0.75,,left_only
India,2014,49.5,62.6,Engineering,0.89,1553.88396075118,both
USA,2009,51.1,51.9,Computer Science,0.78,,left_only
USA,2004,63.7,23.0,Mathematics,0.75,,left_only
Germany,2007,46.3,23.4,Computer Science,0.89,42350.9217211489,both
China,2023,65.9,53.1,Mathematics,0.75,12951.1782397043,both
India,2023,22.1,25.6,Engineering,0.94,2530.12031278204,both
USA,2019,59.5,28.3,Computer Science,0.76,,left_only
India,2002,62.5,52.2,Mathematics,0.71,469.149928973927,both
Canada,2005,64.6,31.8,Mathematics,0.63,36383.6600068095,both
China,2023,28.7,13.0,Biology,0.81,12951.1782397043,both
USA,2002,43.5,62.4,Engineering,0.83,,left_only
USA,2008,28.8,22.6,Computer Science,0.6,,left_only
Australia,2015,66.9,54.8,Computer Science,0.58,56970.3613028094,both
China,2020,68.3,57.0,Engineering,0.8,10627.4637989619,both
Canada,2011,34.1,62.3,Biology,0.81,52223.8588398531,both
Canada,2004,68.6,47.1,Computer Science,0.98,32145.5412620217,both
India,2016,28.6,58.9,Engineering,0.85,1707.50892912243,both
Germany,2019,43.4,34.3,Engineering,0.87,47656.199739747,both
Canada,2019,41.9,18.8,Computer Science,0.56,46352.8693445211,both
USA,2005,22.6,21.2,Engineering,0.6,,left_only
China,2002,43.8,29.6,Engineering,0.98,1163.55957673426,both
Australia,2000,50.8,27.6,Mathematics,0.76,21908.9968019784,both
Canada,2019,68.2,48.3,Engineering,0.88,46352.8693445211,both
Canada,2013,45.7,17.1,Biology,0.79,52638.1187235237,both
Canada,2006,32.3,12.6,Engineering,0.55,40504.0370977806,both
USA,2019,39.4,20.1,Biology,0.83,,left_only
USA,2009,59.7,34.9,Engineering,0.67,,left_only
Canada,2005,44.2,37.9,Mathematics,0.81,36383.6600068095,both
USA,2023,26.7,22.8,Engineering,0.89,,left_only
USA,2023,24.2,14.2,Biology,0.55,,left_only
Germany,2013,58.2,55.3,Mathematics,0.52,47206.8353514242,both
Germany,2007,21.3,44.0,Biology,0.76,42350.9217211489,both
India,2011,36.4,23.8,Biology,0.71,1445.46127486037,both
Australia,2019,28.2,30.0,Mathematics,0.78,55194.7585097428,both
USA,2012,42.9,22.7,Biology,0.92,,left_only
Canada,2012,20.1,27.2,Computer Science,0.97,52670.3447335415,both
USA,2021,66.0,52.6,Mathematics,0.66,,left_only
USA,2014,33.6,60.2,Engineering,0.64,,left_only
Australia,2013,21.4,27.1,Mathematics,0.77,68476.6788496118,both
India,2004,44.6,32.0,Computer Science,0.68,624.258826510066,both
Germany,2012,45.5,58.1,Mathematics,0.95,44718.0159214069,both
USA,2014,28.7,49.3,Computer Science,0.56,,left_only
Canada,2022,54.3,17.8,Mathematics,0.76,56256.8007264015,both
China,2010,51.0,28.0,Engineering,0.8,4629.24551710077,both
China,2021,61.3,11.8,Mathematics,0.91,12887.4357242941,both
China,2019,66.8,23.3,Mathematics,0.69,10342.9009524335,both
China,2016,68.7,34.7,Computer Science,0.51,8254.86859320357,both
Germany,2006,44.0,43.9,Biology,0.76,36980.3349948954,both
Australia,2005,36.5,33.0,Biology,0.87,34535.20727091,both
USA,2017,41.7,39.0,Engineering,0.63,,left_only
USA,2017,53.4,32.6,Computer Science,0.63,,left_only
Canada,2006,63.1,39.1,Computer Science,0.6,40504.0370977806,both
USA,2009,66.1,41.0,Biology,0.94,,left_only
USA,2010,50.6,50.9,Engineering,0.97,,left_only
Germany,2021,51.6,54.8,Engineering,0.89,52349.2459994422,both
USA,2020,42.0,61.8,Biology,0.8,,left_only
India,2017,48.2,53.4,Engineering,0.97,1950.10468280866,both
Germany,2012,40.8,49.2,Computer Science,0.78,44718.0159214069,both
China,2019,22.8,37.5,Computer Science,0.98,10342.9009524335,both
Germany,2019,21.5,64.1,Computer Science,0.77,47656.199739747,both
Germany,2007,48.5,50.5,Biology,0.78,42350.9217211489,both
Canada,2005,48.9,21.7,Mathematics,0.69,36383.6600068095,both
Australia,2017,65.2,12.2,Mathematics,0.72,54117.547718609,both
India,2000,57.6,18.5,Biology,0.78,442.750218937263,both
USA,2007,38.7,40.4,Engineering,0.78,,left_only
India,2023,49.4,30.1,Biology,0.58,2530.12031278204,both
Canada,2014,55.2,63.1,Engineering,0.84,50960.8431174661,both
India,2011,25.7,27.0,Mathematics,0.65,1445.46127486037,both
Canada,2023,64.2,42.5,Computer Science,0.55,54220.3285039875,both
Australia,2015,23.4,30.8,Biology,0.58,56970.3613028094,both
Canada,2022,28.3,32.3,Engineering,0.73,56256.8007264015,both
Canada,2002,48.5,60.6,Biology,0.92,24256.0192337185,both
Germany,2001,62.4,56.2,Biology,0.76,23878.3641471651,both
China,2007,50.4,11.0,Mathematics,0.74,2734.72709877693,both
India,2002,56.1,11.7,Mathematics,0.62,469.149928973927,both
Canada,2000,21.0,21.3,Computer Science,0.88,24271.0020563821,both
Australia,2004,41.9,52.6,Biology,0.78,30886.0500949401,both
China,2018,32.7,24.7,Biology,0.55,10085.6638148819,both
Australia,2016,30.5,56.9,Mathematics,0.83,50084.4440606385,both
Australia,2011,48.1,50.0,Engineering,0.81,62799.3895017032,both
India,2009,47.2,26.8,Mathematics,0.54,1094.94974598436,both
Canada,2015,61.2,40.8,Mathematics,0.59,43594.1941045394,both
China,2010,65.6,26.5,Engineering,0.69,4629.24551710077,both
USA,2021,51.8,56.0,Biology,0.62,,left_only
Germany,2018,36.1,56.4,Biology,0.87,48916.1686612154,both
Australia,2007,29.4,20.4,Biology,0.73,41128.2476618402,both
India,2014,43.0,45.7,Mathematics,0.65,1553.88396075118,both
Australia,2019,64.0,20.7,Computer Science,0.5,55194.7585097428,both
India,2006,26.4,51.1,Computer Science,0.83,801.668353659022,both
USA,2017,51.0,50.8,Engineering,0.83,,left_only
Australia,2021,41.2,10.5,Mathematics,0.7,60758.9044397144,both
Australia,2016,53.7,22.6,Mathematics,0.59,50084.4440606385,both
Canada,2006,28.0,13.8,Engineering,0.58,40504.0370977806,both
India,2013,21.1,39.5,Computer Science,0.67,1432.84397512195,both
Australia,2022,57.9,50.2,Engineering,0.65,65169.5191118657,both
China,2013,27.5,48.2,Mathematics,0.8,7147.03518622344,both
USA,2015,66.6,22.6,Mathematics,0.68,,left_only
Canada,2021,47.7,50.4,Computer Science,0.57,52886.6616372703,both
Australia,2003,66.9,33.7,Engineering,0.68,23757.5898471684,both
Germany,2020,37.8,30.5,Biology,0.76,47394.8734504469,both
Germany,2010,69.2,50.7,Mathematics,0.69,42396.9665976293,both
Australia,2000,47.5,11.0,Computer Science,0.73,21908.9968019784,both
Germany,2003,52.5,57.9,Engineering,0.71,30711.1022511331,both
Germany,2017,56.5,14.0,Computer Science,0.72,45553.9341495339,both
Australia,2023,23.3,56.5,Computer Science,0.52,65058.3773146674,both
Canada,2022,20.1,47.3,Biology,0.56,56256.8007264015,both
India,2020,67.2,27.8,Biology,0.95,1907.04251637669,both
China,2000,31.3,23.6,Computer Science,0.74,969.199513696287,both
Canada,2017,41.4,23.3,Engineering,0.92,45129.628116623,both
